epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,422.58,0.70637,0.64165,1.00716,0.82045,0.84152,0.89899,0.70526,0.8846,0.89694,1.05183,0.000803327,0.000803327,0.000803327
159,425.131,0.66656,0.59925,0.99088,0.79563,0.85891,0.89175,0.70129,0.86202,0.84097,1.04321,0.000797826,0.000797826,0.000797826
160,427.693,0.72231,0.65178,1.02132,0.85323,0.8544,0.91849,0.70991,0.84874,0.82002,1.02095,0.000792325,0.000792325,0.000792325
161,430.269,0.65865,0.62706,0.9907,0.89972,0.84685,0.9447,0.7176,0.90566,0.81257,1.00815,0.000786824,0.000786824,0.000786824
162,432.855,0.60743,0.57151,0.95583,0.90848,0.87242,0.92635,0.66958,0.95553,0.89532,1.03371,0.000781323,0.000781323,0.000781323
163,435.394,0.65686,0.6139,0.98958,0.91503,0.88382,0.90055,0.62791,1.00367,0.89851,1.08101,0.000775822,0.000775822,0.000775822
164,437.992,0.62836,0.5714,0.97647,0.84603,0.89011,0.87763,0.64904,1.08422,0.96828,1.11923,0.000770321,0.000770321,0.000770321
165,440.544,0.61841,0.55145,0.97828,0.82326,0.89011,0.88551,0.65621,1.01514,0.90868,1.06473,0.00076482,0.00076482,0.00076482
166,443.11,0.62466,0.56881,0.97628,0.8389,0.80855,0.85349,0.62378,0.97409,0.92813,1.03316,0.000759318,0.000759318,0.000759318
167,445.746,0.63993,0.55572,0.98493,0.75746,0.77473,0.80075,0.58274,1.00886,1.01414,1.04948,0.000753817,0.000753817,0.000753817
168,448.384,0.58311,0.56148,0.94891,0.73236,0.7033,0.77417,0.52547,1.05525,1.21016,1.09791,0.000748316,0.000748316,0.000748316
169,450.985,0.55613,0.52615,0.93436,0.74713,0.77101,0.78328,0.53056,0.98913,1.21432,1.08021,0.000742815,0.000742815,0.000742815
170,453.681,0.58831,0.54803,0.94465,0.7347,0.76927,0.77709,0.56561,0.8934,1.16831,1.02796,0.000737314,0.000737314,0.000737314
171,456.318,0.5449,0.49759,0.93509,0.68002,0.79417,0.78772,0.57053,0.88788,1.11025,1.0035,0.000731813,0.000731813,0.000731813
172,459.027,0.61867,0.57225,0.98933,0.60863,0.8489,0.75926,0.56239,0.91924,1.12155,1.01523,0.000726312,0.000726312,0.000726312
173,461.706,0.61601,0.5972,0.98903,0.7462,0.65934,0.77829,0.54012,1.00472,1.17535,1.08305,0.000720811,0.000720811,0.000720811
174,464.344,0.56636,0.56159,0.95112,0.81401,0.65934,0.74026,0.5334,0.99495,1.15394,1.1125,0.00071531,0.00071531,0.00071531
175,466.986,0.6086,0.55583,0.95438,0.76564,0.65934,0.74317,0.54292,0.98182,1.20825,1.15244,0.000709809,0.000709809,0.000709809
176,469.54,0.59649,0.5811,0.95466,0.77049,0.69505,0.73291,0.54908,1.06799,1.30884,1.20613,0.000704307,0.000704307,0.000704307
